Gene	Microglia	Oligodendrocyte Mature	Oligodendroctye Myelinating	Oligodendroctye Precursor Cells	Committed Oligodendroctye Precursor Cells	Cerebrospinal Fluid-Contacting Neurons	Alpha motor neurons	Gamma motor neurons	Inhibitory	Epyndemal	Excitatory	Astrocyte	Endothelial	Vascular and Leptomeningeal Cells
Muc3	NA	NA	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	NA	NA	NA
Muc5b	NA	NA	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	NA	NA	NA
Muc6	NA	NA	NA	NA	0.0346271680532222	NA	NA	NA	0.0371305328616253	NA	0.0275414869223928	NA	NA	NA
Mul1	0.105409255338946	0.0699895023619095	0.0908153218373	0.0287242494810713	0.0600480576769077	NA	0.100503781525921	NA	0.0851786732882696	NA	0.0730343115803889	0.0585329998434574	NA	0.0672672793996312
Mum1	0.149906337799172	0.20755354594845	0.247032839434667	0.119898279070171	0.126909185257773	NA	0.314485451016575	0.263523138347365	0.182459823319974	0.172132593164774	0.157839601183736	0.125093109882557	0.169943715464835	0.168442574737998
Mum1l1	NA	0.052851642258169	0.0452678730212593	0.0956630247769962	0.0346271680532222	0.14142135623731	NA	0.114707866935281	0.100991836058139	NA	0.0679329642183106	0.0942460046922103	NA	0.0824786098842323
Murc	NA	0.182016699518493	0.158610317143629	0.0781516222925553	0.116951124642715	0.14142135623731	0.204124145231932	NA	0.105531469009372	NA	0.0850799079505021	0.0331922586977549	0.103142124625879	0.0824786098842323
Mus81	0.173748897105228	0.0794162302769058	0.0908153218373	0.118031594204375	0.0600480576769077	0.14142135623731	0.142857142857143	0.163299316185545	0.124211916564515	NA	0.124947656706764	0.094528581527697	0.103142124625879	0.0953462589245592
Musk	NA	0.0263981838674227	NA	NA	0.0346271680532222	NA	NA	NA	0.0303099893180039	0.120824418666035	0.0213303083307689	NA	NA	0.0777322074336472
Mut	NA	0.120555838237829	0.136930639376292	0.108057378264966	0.0983540479209807	0.14142135623731	0.175863114528165	0.234082294392261	0.108784510560971	0.148522131446501	0.0981098667795915	0.110388649817084	0.103142124625879	0.0672672793996312
Mutyh	NA	0.052851642258169	NA	0.0406389919054146	0.085074295211124	NA	NA	NA	0.0214274782177742	NA	0.0318061910415023	0.0447350560516338	0.103142124625879	NA
Mvb12a	0.105409255338946	0.0794162302769058	0.101639453522718	0.0575197308543051	0.0776150525706333	0.14142135623731	0.175863114528165	0.114707866935281	0.110176465824276	0.0851256530758749	0.0985819917450997	0.0520439925544713	NA	0.047511433814558
Mvb12b	0.456540864765602	0.511755950796764	0.378645256453442	0.252157361327436	0.338670101958542	0.365148371670111	0.621368517768195	0.729421692778161	0.444239129229687	0.344249445973994	0.401875360512741	0.28487819243803	0.36074504334969	0.212446601501195
Mvd	NA	0.210148404835265	0.247032839434667	0.0643356265818723	0.111677445008115	0.14142135623731	0.142857142857143	0.114707866935281	0.10559496667785	NA	0.0722812878479816	0.13286973093932	NA	0.0672672793996312
Mvk	0.105409255338946	0.27134926295258	0.222770090598398	0.0705053365746256	0.157298048836768	NA	0.175863114528165	0.234082294392261	0.124748240272865	0.120824418666035	0.0989114593702198	0.154748002672504	0.180578779628654	0.0953462589245592
Mvp	0.105409255338946	0.0373456843486636	0.0785674201318386	NA	NA	0.14142135623731	NA	NA	0.0371305328616253	NA	0.0371140025999844	0.0542525639180773	0.197642353760524	0.0672672793996312
Mxd1	0.105409255338946	0.120555838237829	0.17167901505579	0.0671464760467096	0.114947332758728	NA	0.192450089729875	0.114707866935281	0.1369073577916	0.120824418666035	0.125624877319516	0.143835285932172	NA	0.0672672793996312
Mxd3	NA	NA	NA	0.0497929597731969	NA	NA	NA	NA	NA	NA	0.0158970659108583	0.019156525704423	NA	NA
Mxd4	NA	0.189904017225252	0.196513342357859	0.122730442459384	0.186699491783931	0.14142135623731	0.274351630584367	0.316227766016838	0.180577421296007	0.193166852321564	0.193188639333628	0.141479909715413	0.209656967344384	0.212446601501195
Mxi1	0.184637236468999	0.191893472252552	0.219787208535603	0.143997703247458	0.0983540479209807	0.14142135623731	0.175863114528165	0.250470072492812	0.182354869992014	0.163057927559593	0.128007743369528	0.148448898982943	0.259645393444749	0.201268158876916
Mxra7	NA	NA	NA	0.0643356265818723	0.0489995957550025	0.14142135623731	0.100503781525921	0.263523138347365	0.112011019107439	NA	0.0944549816769835	0.0905177143685657	NA	0.0672672793996312
Mxra8	NA	NA	NA	NA	0.0346271680532222	NA	NA	NA	0.0214274782177742	0.120824418666035	0.0389643250099598	0.0428667670893307	NA	0.143838990445615
Myadm	NA	0.0373456843486636	NA	NA	0.0346271680532222	NA	0.135388104721957	NA	0.116385194458456	0.148522131446501	0.0813167325141338	0.0270963907301702	0.146647115021353	0.126563449052859
Myadml2	NA	NA	NA	NA	NA	NA	NA	0.114707866935281	0.0214274782177742	NA	0.0158970659108583	NA	NA	NA
Myb	NA	NA	NA	0.0956630247769962	NA	NA	NA	0.201346816564207	0.0303099893180039	0.212397697621437	0.0503282034732312	0.0628165158459054	NA	0.047511433814558
Mybbp1a	0.214422506967559	0.16999697941935	0.202016486317407	0.112689090777432	0.161245764591942	0.14142135623731	0.142857142857143	0.163299316185545	0.190348902137469	0.0851256530758749	0.16863251300024	0.103695169473043	0.180578779628654	0.0953462589245592
Mybl1	0.105409255338946	0.0647750275631296	0.0452678730212593	0.240963815764032	0.125758042121174	NA	0.100503781525921	0.163299316185545	0.0942206260374199	NA	0.0669085070630979	0.0962072303605056	NA	0.106721701823439
Mybl2	NA	0.0647750275631296	0.0452678730212593	0.10503130399358	0.0489995957550025	NA	NA	NA	0.052546738120159	NA	0.0224846875206644	0.061542507858717	NA	0.0672672793996312
Mybpc1	NA	0.0263981838674227	NA	0.268875134993938	0.131634865890326	NA	0.100503781525921	0.114707866935281	0.054275033400887	NA	0.0300523969530582	0.0633283218345015	NA	0.047511433814558
Mybphl	NA	0.0263981838674227	NA	NA	NA	NA	NA	NA	0.0214274782177742	NA	0.0158970659108583	NA	NA	NA
Mycbp2	0.590538595357493	0.68308811203872	0.653745322858574	0.553636621627405	0.549990677795731	0.798041368930959	1.1368291367717	1.39007975031342	0.791553071345023	0.276108411091372	0.73812035160761	0.429618167726182	0.605482075728009	0.47905845495333
Mycbpap	NA	NA	NA	NA	0.0489995957550025	0.202030508910442	NA	0.163299316185545	0.0479573560955966	0.193166852321564	0.0579236934469574	0.019156525704423	0.103142124625879	0.0672672793996312
Mycl	NA	NA	0.0640841336112001	NA	0.0919462140612284	NA	NA	NA	0.0350043211125975	NA	0.0355649002533091	NA	NA	NA
Myct1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.180578779628654	NA
Myd88	NA	0.0263981838674227	NA	NA	NA	NA	NA	NA	0.0303099893180039	NA	NA	0.019156525704423	NA	NA
Myef2	0.265684465662029	0.317195767564734	0.330937848350811	0.36205419654765	0.287378628308121	0.378810979048303	0.661109977521587	0.53358668184263	0.471583936197606	0.236514749052436	0.416344212723613	0.217821764885554	0.321404314682197	0.275915772279476
Myg1	NA	0.0431331092813754	0.0452678730212593	0.0610215070911801	0.0489995957550025	NA	0.100503781525921	NA	0.0654970793554829	0.0851256530758749	0.0637091310089996	0.0331922586977549	0.103142124625879	NA
Myh10	0.149906337799172	0.0911875164810369	0.0452678730212593	0.296466484921339	0.19121904145428	0.25	0.644831419936604	0.905068470432051	0.486912864502268	0.282685708458927	0.479762807268301	0.19139824151521	0.63680601537011	0.239796897161739
Myh11	NA	NA	0.0452678730212593	0.0287242494810713	NA	NA	0.142857142857143	NA	0.0371305328616253	NA	0.0355649002533091	NA	NA	NA
Myh14	0.105409255338946	0.231521234586257	0.131670163287431	0.116344730248879	0.161245764591942	NA	0.100503781525921	0.486308904262469	0.0654970793554829	0.0851256530758749	0.0749176704838941	0.165493561177892	NA	0.0672672793996312
Myh15	NA	0.0373456843486636	NA	NA	NA	NA	0.100503781525921	0.114707866935281	0.0214274782177742	NA	NA	0.0331922586977549	NA	NA
Myh2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0158970659108583	NA	NA	NA
Myh6	NA	0.0457548917453887	0.0640841336112001	NA	NA	NA	NA	NA	0.0214274782177742	NA	NA	0.0383341585914639	NA	NA
Myh7	NA	NA	NA	NA	NA	NA	NA	NA	0.0303099893180039	NA	0.047739480405262	NA	NA	NA
Myh7b	NA	0.0431331092813754	NA	0.0287242494810713	NA	NA	NA	NA	0.0428845013935118	NA	0.0650283585478386	0.019156525704423	NA	NA
Myh9	0.500710395811724	0.360099243147758	0.276725509762693	0.183960244899814	0.233303783392148	0.14142135623731	0.314485451016575	0.381881307912987	0.211432780466223	0.212397697621437	0.178318909762509	0.185740177425269	0.686722893954655	0.256742535514653
Myl1	NA	NA	NA	NA	0.0346271680532222	NA	NA	NA	0.0214274782177742	NA	0.0158970659108583	NA	NA	NA
Myl12a	NA	0.0457548917453887	NA	0.0406389919054146	0.0489995957550025	NA	NA	NA	0.0428845013935118	NA	0.0300523969530582	0.0633283218345015	0.146647115021353	0.0824786098842323
Myl12b	0.288675134594813	0.171628312292615	0.144488154263034	0.126146334954471	0.145392790714993	0.14142135623731	0.204124145231932	0.301083971797993	0.178333998776584	NA	0.166138540689036	0.0881101646182624	0.259645393444749	0.172292196901579
Myl4	NA	0.0373456843486636	0.0452678730212593	0.0287242494810713	0.0489995957550025	NA	NA	0.114707866935281	0.0303099893180039	NA	0.0275414869223928	0.0270963907301702	NA	0.047511433814558
Myl6	0.105409255338946	0.14226819478678	0.131670163287431	0.0761860339856396	0.115540099372931	NA	0.261488180184245	0.163299316185545	0.126097858385197	0.120824418666035	0.116792244602526	0.0636519078860345	0.235702260395516	0.106721701823439
Myl6b	NA	NA	NA	NA	NA	NA	NA	0.114707866935281	0.052546738120159	NA	0.0224846875206644	NA	0.103142124625879	NA
Myl9	NA	NA	NA	NA	0.0346271680532222	NA	0.142857142857143	NA	0.0287532598859581	NA	0.0224846875206644	0.0383341585914639	NA	0.0672672793996312
Mylip	0.350202097986237	0.0616913708934924	NA	0.0705053365746256	0.0489995957550025	0.14142135623731	0.142857142857143	0.201346816564207	0.0810544885142059	0.0851256530758749	0.0799485161335316	0.129556095178253	0.103142124625879	0.143838990445615
Mylk	NA	0.0591105751776591	0.0820074780840588	0.0497929597731969	0.0600480576769077	NA	0.100503781525921	0.189405489524151	0.101594981014427	NA	0.163227842826078	0.0575541223257511	0.197642353760524	0.183346101415785
Mylk3	NA	NA	NA	0.0287242494810713	NA	NA	NA	NA	NA	NA	NA	0.019156525704423	NA	NA
Mylk4	NA	NA	NA	NA	NA	0.14142135623731	0.100503781525921	NA	0.0371305328616253	NA	0.0355649002533091	NA	0.103142124625879	NA
Mynn	0.149906337799172	0.133481932754011	0.131670163287431	0.116344730248879	0.0983540479209807	0.14142135623731	0.229415733870562	0.114707866935281	0.124748240272865	0.120824418666035	0.0936085535054515	0.0962072303605056	0.103142124625879	0.106721701823439
Myo10	NA	0.0591105751776591	NA	0.173078555950485	0.110096376512636	0.341743063086704	0.204124145231932	0.114707866935281	0.126097858385197	0.388659927340731	0.146429078170332	0.395813143809989	0.855291968239368	0.25315337711575
Myo15	NA	0.0837414038627107	0.0640841336112001	0.0287242494810713	0.0489995957550025	NA	0.204124145231932	0.163299316185545	0.0761574148347357	0.0851256530758749	0.07972747887249	0.0553746868397268	NA	0.047511433814558
Myo15b	NA	NA	0.0452678730212593	NA	0.0346271680532222	NA	NA	NA	0.0303099893180039	NA	NA	NA	NA	NA
Myo16	0.184637236468999	0.109454409660924	0.120510669970603	0.270665157064079	0.197998698869968	0.202030508910442	0.379690347158577	0.696055224177491	0.604573089777357	0.216631752839593	0.429279590880044	0.221417286968446	NA	0.14297805455281
Myo18a	0.288675134594813	0.486965181547291	0.561897483788478	0.241063267223046	0.19673551305847	0.291729982995789	0.520755643923296	0.695214894317718	0.379954520362624	0.337609848222911	0.321089198204375	0.316835196660388	0.303239217431561	0.275915772279476
Myo18b	0.149906337799172	0.0263981838674227	0.0452678730212593	0.0287242494810713	0.085074295211124	NA	0.204124145231932	0.114707866935281	0.0654970793554829	NA	0.0694518486363381	NA	NA	NA
Myo19	0.105409255338946	0.0647750275631296	0.0640841336112001	0.119898279070171	0.116951124642715	0.202030508910442	0.204124145231932	0.363803437554499	0.235147057709732	NA	0.173859736125532	0.145337637425077	0.103142124625879	0.0824786098842323
Myo1a	NA	NA	NA	0.038550349653257	0.0346271680532222	NA	NA	NA	0.0371305328616253	NA	0.0420916068383757	0.0383341585914639	0.103142124625879	NA
Myo1b	NA	0.0647750275631296	0.0908153218373	0.12947764033294	0.0489995957550025	0.202030508910442	0.204124145231932	0.154713186938819	0.255708619878964	0.172132593164774	0.353252653743894	0.0789634252209299	0.870619067579762	0.397186979570765
